timestamp,open,high,low,close,volume,MACD,Signal Line
2023-09-22,415.72,421.15,412.31,416.1,47923631,-7.726983640160313,-5.293321710175336
2023-09-21,415.83,421.0,409.8,410.17,45073596,-8.860971365946796,-6.006851641329628
2023-09-20,436.0,439.03,422.23,422.39,36710769,-8.673628742378412,-6.540207061539385
2023-09-19,438.33,439.66,430.02,435.2,37306424,-7.406125219726505,-6.713390693176809
2023-09-18,427.48,442.42,420.0,439.66,50027079,-5.9728831410706675,-6.565289182755581
2023-09-15,453.41,455.99,438.08,439.0,50683051,-4.8345552088922545,-6.219142387982917
2023-09-14,459.5,459.8699,451.31,455.81,37009720,-2.546639533152529,-5.484641817016839
2023-09-13,446.0,459.3,445.03,454.85,39835535,-0.8016726700156482,-4.5480479876166005
2023-09-12,447.38,456.73,445.31,448.7,34925634,0.08400419050485652,-3.6216375519923094
2023-09-11,461.48,461.63,443.12,451.78,47396555,1.0226512556932335,-2.6927797904552007
2023-09-08,459.42,466.06,452.71,455.72,47389994,2.0607063494368845,-1.7420825624767837
2023-09-07,455.25,463.44,451.52,462.41,43332989,3.384188757931895,-0.716828298395048
2023-09-06,484.41,485.49,465.8,470.61,46866957,5.0366699753233775,0.43387135634863716
2023-09-05,482.23,488.5081,478.6,485.48,38265258,7.460161869572289,1.8391294589933675
2023-09-01,497.62,498.0,481.416,485.09,46383030,9.242781879373354,3.319859943069365
2023-08-31,493.8,497.44,489.58,493.55,52856977,11.208962435435467,4.897680441542586
2023-08-30,490.44,499.27,484.25,492.64,73520598,12.549087230806776,6.427961799395424
2023-08-29,466.66,490.81,463.9101,487.84,70139699,13.073127030817886,7.756994845679918
2023-08-28,464.82,469.8,448.88,468.35,68519223,11.77996018432151,8.561587913408237
2023-08-25,470.12,478.05,450.24,460.18,92534052,9.980812823854876,8.845432895497565
2023-08-24,502.16,502.66,471.59,471.63,115604409,9.370873292733108,8.950520974944673
2023-08-23,458.66,472.0,452.08,471.16,77904608,8.748716984387158,8.91016017683317
2023-08-22,481.35,481.87,453.331,456.68,75720691,7.006472389707085,8.529422619407953
2023-08-21,444.94,470.65,442.22,469.67,69257337,6.597859417924099,8.143109979111182
2023-08-18,426.35,435.7799,416.6,432.99,58376787,3.2764918825622544,7.169786359801397
2023-08-17,439.7,440.62,430.01,433.435,45239482,0.6724404872495029,5.870317185291019
2023-08-16,445.2,446.75,434.06,434.86,52745068,-1.2617586456849494,4.443902019095826
2023-08-15,445.6,452.68,437.1,439.4,67651151,-2.400612568688416,3.0749991015389777
2023-08-14,404.86,438.0,403.11,437.53,69028583,-3.4146934192617096,1.7770605973788403
2023-08-11,417.51,420.18,406.39,408.55,53308526,-6.4820821948474645,0.12523203893357926
2023-08-10,421.6,435.74,418.35,423.88,49270530,-7.588531153556062,-1.417520599564349
2023-08-09,442.74,443.12,421.34,425.54,58644907,-8.23650647842959,-2.7813177753373974
2023-08-08,448.53,452.42,440.5601,446.64,35384343,-6.967125248875561,-3.6184792700450306
